Date,PIN,Card Number,Type,Amount,Balance After
2025-11-01,4321,XXXX-XXXX-XXXX-0001,Deposit,₹2000,₹19900
2025-06-08,4321,XXXX-XXXX-XXXX-0001,Deposit,₹1000,₹17900
2025-05-29,4321,XXXX-XXXX-XXXX-0001,Deposit,₹1500,₹21700
2025-05-29,4321,XXXX-XXXX-XXXX-0001,Deposit,₹1500,₹21700
2025-05-17,4321,XXXX-XXXX-XXXX-0001,Deposit,₹2000,₹20200
2025-05-09,4321,XXXX-XXXX-XXXX-0001,Deposit,₹2000,₹18200
2025-05-09,4321,XXXX-XXXX-XXXX-0001,Deposit,₹2000,₹18200
2025-04-15,4321,XXXX-XXXX-XXXX-0001,Deposit,₹5000,₹14200
2024-12-03,4321,XXXX-XXXX-XXXX-0001,Deposit,₹1500,₹9200
2024-12-01,4321,XXXX-XXXX-XXXX-0001,Deposit,₹3000,₹8500
2024-01-17,4321,XXXX-XXXX-XXXX-0001,Deposit,₹2000,₹6000
2024-01-15,4321,XXXX-XXXX-XXXX-0001,Deposit,₹5000,₹5000
