Date,PIN,Card Number,Transaction Type,Amount,Balance After
2025-11-01,4321,5040936000000001,Deposit,2000,19900
2025-06-08,4836,5040936028696222,Withdrawl,2000,8000
2025-06-08,4836,5040936028696222,Deposit,10000,8000
2025-06-08,2005,5040936036898956,Deposit,1000,15300
2025-06-08,2005,5040936036898956,Withdrawl,100,15300
2025-06-08,3442,5040936039083999,Deposit,10000,8000
2025-06-08,3442,5040936039083999,Withdrawl,2000,8000
2025-06-08,1948,5040936044763899,Deposit,50000,40000
2025-06-08,1948,5040936044763899,Withdrawl,10000,40000
2025-06-08,4321,5040936000000001,Deposit,1000,17900
2025-06-08,4321,5040936000000001,Withdrawl,2000,17900
2025-06-08,4321,5040936000000001,Withdrawl,2000,17900
2025-06-02,4321,5040936000000001,Withdrawl,800,20900
2025-06-01,2005,5040936036898956,Deposit,3000,14400
2025-05-29,4321,5040936000000001,Deposit,1500,21700
2025-05-29,4321,5040936000000001,Deposit,1500,21700
2025-05-28,2005,5040936036898956,Withdrawl,800,11400
2025-05-28,2005,5040936036898956,Withdrawl,800,11400
2025-05-18,4321,5040936000000001,Withdrawl,500,18700
2025-05-18,4321,5040936000000001,Withdrawl,500,18700
2025-05-18,4321,5040936000000001,Withdrawl,500,18700
2025-05-17,4321,5040936000000001,Deposit,2000,20200
2025-05-10,2005,5040936036898956,Deposit,5000,13000
2025-05-10,2005,5040936036898956,Deposit,5000,13000
2025-05-09,4321,5040936000000001,Deposit,2000,18200
2025-05-09,4321,5040936000000001,Deposit,2000,18200
2025-05-03,9162,N/A,Deposit,1500,1500
2025-05-01,2005,5040936036898956,Deposit,3000,3000
2025-05-01,2005,5040936036898956,Deposit,3000,3000
2025-04-16,2005,5040936036898956,Withdrawl,1000,-3000
2025-04-16,2005,5040936036898956,Withdrawl,1000,-3000
2025-04-16,2005,5040936036898956,Withdrawl,1000,-3000
2025-04-15,4321,5040936000000001,Deposit,5000,14200
2024-12-03,4321,5040936000000001,Deposit,1500,9200
2024-12-02,4321,5040936000000001,Withdrawl,800,7700
2024-12-01,4321,5040936000000001,Deposit,3000,8500
2024-01-18,4321,5040936000000001,Withdrawl,500,5500
2024-01-17,4321,5040936000000001,Deposit,2000,6000
2024-01-16,4321,5040936000000001,Withdrawl,1000,4000
2024-01-15,4321,5040936000000001,Deposit,5000,5000
